,name_state_x,state,name_region,payment_value,poblacion_total,n_15_59,payments_percapita,payments_percapita2,Estado
0,Acre,AC,Norte,19680.619999999995,765325,445036.4875,0.0257153758207297,0.0442224863641096,Acre
1,AmapÃ¡,AP,Norte,16262.799999999994,694261,418361.6786,0.0234246198475789,0.0388725852100546,Amapá
2,Amazonas,AM,Norte,27966.93,3553148,2144680.1328,0.0078710287328307,0.0130401403791098,Amazonas
3,ParÃ¡,PA,Norte,218295.84999999983,7762953,4753256.1219,0.0281202076065641,0.0459255391255334,Pará
4,RondÃ´nia,RO,Norte,60866.2,1598634,1038792.3732,0.0380738805755413,0.0585932295714702,Rondônia
5,Roraima,RR,Norte,10064.62,458820,280293.13800000004,0.0219358789939409,0.0359074791192355,Roraima
6,Tocantins,TO,Norte,61485.33000000002,1412989,879303.0547,0.0435143727233545,0.0699250726713073,Tocantins
7,Alagoas,AL,Nordeste,96962.05999999995,3195720,1959935.076,0.0303412251386228,0.0494720775128369,Alagoas
8,Bahia,BA,Nordeste,616645.8200000012,14302571,9099295.6702,0.0431143337795702,0.0677685221307296,Bahia
9,CearÃ¡,CE,Nordeste,279464.0299999998,8623766,5427798.3204,0.0324062631105713,0.0514875486345271,Ceará
10,MaranhÃ£o,MA,Nordeste,152523.01999999996,6710964,4025907.3036,0.0227274382637129,0.0378853780025219,Maranhão
11,ParaÃ­ba,PB,Nordeste,141545.71999999988,3840796,2394736.306,0.036853225216856,0.0591070171882214,Paraíba
12,Pernambuco,PE,Nordeste,324850.4400000004,9000873,5677750.6884,0.0360909925070601,0.0572146361874765,Pernambuco
13,PiauÃ­,PI,Nordeste,108523.96999999994,3192643,1983589.0959,0.0339918901048441,0.054710912771357,Piauí
14,Rio Grande do Norte,RN,Nordeste,102718.13000000003,3239939,2066433.0942,0.0317037234342992,0.0497079389060822,Rio Grande do Norte
15,Sergipe,SE,Nordeste,75246.24999999991,2108297,1343406.8484,0.0356905360108181,0.0560115128857786,Sergipe
16,Distrito Federal,DF,Centro-oeste,355141.08,2639212,1787010.4451999995,0.1345633014702873,0.1987347533160351,Distrito Federal
17,GoiÃ¡s,GO,Centro-oeste,350092.31,6111792,4052118.096,0.0572814503504045,0.0863973610111683,Goiás
18,Mato Grosso,MT,Centro-oeste,187029.28999999992,3106513,2042221.6462,0.0602055391366461,0.0915812886167418,Mato Grosso
19,Mato Grosso do Sul,MS,Centro-oeste,137534.84000000003,2494745,1619089.505,0.0551298188792842,0.0849457918016707,Mato Grosso do Sul
20,EspÃ­rito Santo,ES,Sudeste,325967.54999999976,3596057,2369082.3516,0.0906458240233677,0.1375923254756644,Espírito Santo
21,Minas Gerais,MG,Sudeste,1872257.2600000005,19957444,13068134.331200002,0.0938124771889627,0.1432689022433761,Minas Gerais
22,Rio de Janeiro,RJ,Sudeste,2144379.689999989,16303188,10667175.9084,0.1315313109313337,0.2010259986723731,Rio de Janeiro
23,SÃ£o Paulo,SP,Sudeste,5998226.959999919,42298906,27997645.8814,0.1418057232969552,0.2142404038328376,São Paulo
24,ParanÃ¡,PR,Sul,811156.3799999953,10653276,6974699.7972,0.0761414967564902,0.1162998270299224,Paraná
25,Rio Grande do Sul,RS,Sul,890898.5399999956,10914795,7101165.627,0.0816230208629658,0.1254580708007468,Rio Grande do Sul
26,Santa Catarina,SC,Sul,623086.4299999991,6353055,4283864.986500001,0.0980766623301701,0.145449595625345,Santa Catarina
